from,to,relation,weight,event,year
ml,v_raelingen,1,,,
sk,v_schwarzach,1,,,
rk96,v_tsuchiya,1,,,
al96,v_menges,1,,,
vz,v_nsa,1,,,
pw,v_wisla,1,,,
nn,v_flyinglaboratory,1,,,
aa95,v_kiteen,1,,,
lk99,v_ljubljana,1,,,
pr00,v_oberstdorf,1,,,
ml,nor,2,,,
sk,aut,2,,,
rk96,jpn,2,,,
al96,slo,2,,,
vz,bul,2,,,
pw,pol,2,,,
nn,jpn,2,,,
aa95,fin,2,,,
lk99,slo,2,,,
pr00,ger,2,,,
mb,nor,3,,,
sh69t,ger,3,,,
ks90,jpn,3,,,
rh88,slo,3,,,
es,bul,3,,,
mm82,pol,3,,,
im,fin,3,,,
bn,sui,3,,,
mb,ml,4,,,
mb,jf,4,,,
sh69t,aw95,4,,,
sh69t,pr00,4,,,
ks90,rk96,4,,,
ks90,nn,4,,,
rh88,al96,4,,,
rh88,lk99,4,,,
es,vz,4,,,
mm82,pw,4,,,
im,aa95,4,,,
bn,gd,4,,,
v_raelingen,nor,5,,,
v_ruhpolding,ger,5,,,
v_bischofshofen,aut,5,,,
v_oberaudorf,ger,5,,,
v_schwarzach,aut,5,,,
v_tsuchiya,jpn,5,,,
v_menges,slo,5,,,
v_nsa,bul,5,,,
v_wisla_wss,pol,5,,,
v_flyinglaboratory,jpn,5,,,
v_kiteen,fin,5,,,
v_ljubljana,slo,5,,,
v_horw,sui,5,,,
v_oberstdorf,ger,5,,,
v_fersped,slo,5,,,
v_katowice,slo,,,,
mb,NA,6,,,
ks90,v_kitanoconstruction,6,,,
rh88,v_velenje,6,,,
mm82,v_katowice,6,,,
im,v_fersped,6,,,
bn,v_kranj,6,,,
ml,wc25,7,4,,2025
aw95,wc25,7,3,,2025
jh98,wc25,7,2,,2025
kg,wc25,7,1,,2025
jf,wc25,7,1,,2025
sk,wc25,7,1,,2025
rk96,wc25,7,1,,2025
al96,wc25,7,1,,2025
vz,wc25,7,1,,2025
pw,wc25,7,1,,2025
nn,wc25,7,1,,2025
aa95,wc25,7,1,,2025
lk99,wc25,7,1,,2025
gd,wc25,7,1,,2025
pr00,wc25,7,1,,2025
mb,wc25,8,,,2025
sh69t,wc25,8,,,2025
aw76,wc25,8,,,
ks90,wc25,8,,,
rh88,wc25,8,,,
mm82,wc25,8,,,
mz,wc25,8,,,
im,wc25,8,,,
bn,wc25,8,,,
jh98,v_bischofshofen,1,,,
dt02,v_achomitz,1,,,
jh98,aut,2,,,
dt02,aut,2,,,
tt89,pol,3,,,
aw76,jh98,4,,,
aw76,dt02,4,,,
